index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Veil of Steel Gift	402	100			1	1	1	30	uhm	Spired Helm		3	5000	cred	cred						ac		140	140	ac%		60	60	dmg%		60	70	noheal		1	1	swing2		40	40	mana/lvl	5			heal-kill		10	15	levelup-skill	Blizzard	100	40	mana		13	13	stupidity		1	1	abyssal-display		2	10	oskill	47	4	4		0
The Gladiator's Bane Gift	403	100			1	1	1	30	utu	Wire Fleece		3	5000	cgrn	cgrn						ac		50	50	mana		30	30	res-fire		20	20	block2		30	30	res-ltng/lvl	8			abyssal-display		2	10	ltng-min		1	1	ltng-max		27	58	mag%		20	20	red-dmg		2	2	red-mag		15	20	move3		30	30		0
Arkaine's Valor Gift	404	100			1	1	1	30	upl	Balrog Skin		3	5000	cred	cred						vit/lvl	4			res-ltng		30	30	oskill	80	2	2	ac		15	15	att%		20	20	res-all		15	25	reduce-ac		33	33	lifesteal		7	7	mag%		5	7	abyssal-display		2	10	block		10	10	dmg-max		5	7		0
Blackoak Shield Gift	405	100			1	1	1	30	uml	Luna		3	5000	cgrn	cgrn		1				dmg%		31	40	res-all		10	10	abyssal-display		2	10	res-pois		25	26	ac%		160	200	fire-min		11	25	fire-max		31	50	reduce-ac		25	25	hp/lvl	10			att		270	350	swing2		20	20	str		1	3		0
Stormshield Gift	406	100			1	1	1	30	uit	Monarch		3	5000	cred	cred		1				res-ltng		25	25	light-thorns		10	10	nec		2	2	dur		40	40	str		20	20	dmg-mag		180	200	red-dmg		2	2	dex		6	6	sock		3	4	abyssal-display		2	10	dmg-max		7	10	oskill	244	6	6		0
Hellslayer Gift	407	100			1	1	1	30	7bt	Decapitator		5	5000	cgrn	cred		1				str/lvl	4			dmg-fire		150	250	nec		2	2	deadly		35	35	lifesteal		3	6	light		4	4	noheal		1	1	ac		100	150	abyssal-display		2	10	res-all		5	10	hp		5	10	oskill	36	10	10		0
Messerschmidt's Reaver Gift	408	100			1	1	1	30	7ga	Champion Axe		5	5000	cred	cred		1				ac		135	175	dmg-mag		50	120	dmg%/lvl	20			dmg-fire		20	240	cold-min		2	3	cold-max		6	10	cold-len		50	50	res-fire		30	40	abyssal-display		2	10	allskills		1	1	oskill	139	4	4	res-cold		30	30		0
Baranar's Star Gift	409	100			1	1	1	30	7mt	Devil Star		5	5000	cgrn	cgrn		1				dmg-fire		1	200	str		15	15	gold%		100	100	ac		200	200	noheal		1	1	res-all		8	8	fire-max		10	10	ac%		25	25	dmg-undead		200	200	dmg-norm		10	20	mana	0	41	60	abyssal-display		2	10		0
Schaefer's Hammer Gift	410	100			1	1	1	30	7wh	Legendary Mallet		5	5000	cred	cred						swing2		20	20	dmg-fire		1	2	abyssal-display		2	10	dex		20	20	dmg%		150	220	res-all		20	30	aura-display	Meditation	12	17	slow		50	50	vit		15	15	dmg/lvl	16			dmg-undead		50	50	indestruct		1	1		0
The Cranium Basher Gift	411	100			1	1	1	30	7gm	Thunder Maul		5	5000	cgrn	cgrn						swing2		20	20	dmg%		200	240	ac%		100	120	res-pois		10	10	oskill	83	40	6	abs-cold%		20	20	res-fire		25	25	ac		20	20	str		7	10	regen		3	5	enr		7	10	abyssal-display		2	10		0
Lightsabre Gift	412	100			1	1	1	30	7cr	Phase Blade		5	5000	cred	cred		1				att-skill	53	5	0	swing2		20	20	dmg-ltng		1	200	dmg-undead		100	100	ignore-ac		1	1	res-all		20	20	abyssal-display		2	10	half-freeze		1	1	oskill	Life Tap	10	12	extra-pois		25	25	dmg%		200	200	nec	0	2	2		0
Doombringer Gift	413	100			1	1	1	30	7b7	Champion Sword		5	5000	cgrn	cgrn		1				hp%		20	20	att%		40	40	dmg-norm		30	100	manasteal		5	5	openwounds		35	35	ass		2	2	dmg-ac		-50	-50	gold%		80	160	hit-skill	Life Tap	5	10	ac/lvl	20			abyssal-display	0	2	10	dmg-pois	100	39	39		0
The Grandfather Gift	414	100			1	1	1	30	7gd	Colossus Blade		5	5000	cred	cred		1				dmg%		150	250	str		20	20	dmg-und/lvl	20			gethit-skill	76	6	2	att		400	450	dmg-max		10	10	oskill	IronGolem	14	17	ac-miss		250	250	dmg/lvl	8			abyssal-display		2	10	dmg-ltng/lvl	16			res-all		50	50		0
Wizardspike Gift	415	100			1	1	1	30	7dg	Bone Knife		5	5000	cgrn	cgrn						mana%		15	15	ac		25	25	swing1		10	10	enr		20	20	balance2		20	20	hit-skill	45	10	3	regen-mana	0	12	12	ac%		81	100	dmg%	0	31	40	res-all		6	8	abyssal-display		2	10	lifesteal		6	7		0
Constricting Ring Gift	416	100			1	1	1	30	rin	Ring		5	5000	cred	cred						regen		-30	-30	regen-mana		20	20	swing2		40	40	ac		10	10	res-all		15	15	oskill	66	3	8	dmg%		300	300	deadly		25	25	sor		2	2	abyssal-display		2	10	manasteal		7	8	dmg-pois	125	52	52		0
Stormspire Gift	417	100			1	1	1	30	7wc	Giant Thresher		5	5000	cgrn	cgrn						cold-min		1	2	cold-max		2	4	extra-cold		10	15	dmg%		70	80	dmg-ltng		1	237	dex		15	15	gethit-skill	53	5	5	oskill	121	2	2	aura-display	Vigor	10	10	res-cold		26	30	abyssal-display		2	10	res-pois-len		75	75		0
Eaglehorn Gift	418	100			1	1	1	30	6l7	Crusader Bow		5	5000	cred	cred						dmg%		200	200	att		40	40	str		10	10	mana		15	15	dmg-cold		1	200	dmg-demon		50	100	move2		25	25	res-fire		24	24	block3		30	30	dmg-ltng		3	33	hp		30	30	abyssal-display		2	10		0
Windforce Gift	419	100			1	1	1	30	6lw	Hydra Bow		5	5000	cgrn	cgrn						dex		5	5	abyssal-display		2	10	manasteal		6	8	swing2		30	30	regen		20	20	cold-min		4	5	cold-max		7	9	cold-len		25	25	hp%		20	20	res-all		3	5	hp		50	50	dmg-fire		232	323		0
Bul Katho's Wedding Band Gift	420	100			1	1	1	30	rin	Ring		5	5000	cgrn	cgrn						abyssal-display		2	10	res-all		11	11	hit-skill	121	6	7	light		7	7	red-mag		10	10	dmg-fire		15	35	move2		20	20	enr		10	10	dmg-pois	100	39	39	cast3		20	20	fire-min		4	7	fire-max		8	19		0
The Cat's Eye Gift	421	100			1	1	1	30	amu	Amulet		5	5000	cred	cred						dmg%		260	310	cold-min		3	3	cold-max		5	7	cold-len		25	25	slow		50	50	gethit-skill	48	10	3	hit-skill	44	10	3	block2		10	10	swing2		10	10	ltng-min		1	1	ltng-max		261	360	abyssal-display		2	10		0
The Rising Sun Gift	422	100			1	1	1	30	amu	Amulet		5	5000	cgrn	cgrn						dmg-fire		24	48	pierce-cold		20	35	dmg/lvl	10			dmg%		200	200	dmg-dem/lvl	8			att		75	75	move3		30	30	abyssal-display		2	10																		0
Crescent Moon Gift	423	100			1	1	1	30	amu	Amulet		5	5000	cred	cred						dmg-to-mana		10	10	dmg%		20	40	red-dmg		3	3	oskill	80	2	2	move2		20	20	hit-skill	91	4	1	thorns		55	77	abs-cold		6	11	abyssal-display		2	10	str		7	10	dmg-min		9	14	enr		11	15		0
Mara's Kaleidoscope Gift	424	100			1	1	1	30	amu	Amulet		5	5000	cgrn	cgrn						allskills		2	2	manasteal		5	5	abyssal-display		2	10	ac%		75	85	ac		25	25	dmg%		180	230	dmg-fire		211	397	dmg-to-mana		45	45	thorns	0	4	4	ama	0	2	2	dmg/lvl	4			regen		6	9		0
Atma's Scarab Gift	425	100			1	1	1	30	amu	Amulet		5	5000	cred	cred						abyssal-display		2	10	hp		26	26	res-cold-max		15	15	enr		20	20	mana-kill		5	5	regen		10	10	oskill	Critical Strike	1	6	vit		10	10	dmg-undead		250	300	mag%		50	50	gethit-skill	44	5	3	ac		100	100		0
Dwarf Star Gift	426	100			1	1	1	30	rin	Ring		5	5000	cgrn	cgrn						hp		40	40	dmg%		40	50	att		70	70	oskill	14	3	3	gethit-skill	62	3	6	hit-skill	Amplify Damage	33	3	manasteal		10	15	allskills		3	3	mag%		25	40	abyssal-display		2	10	res-cold		4	7	str		21	30		0
Raven Frost Gift	427	100			1	1	1	30	rin	Ring		5	5000	cred	cred						abyssal-display		2	10	oskill	Spirit of Barbs	3	13	gethit-skill	62	3	6	dex		15	20	freeze		4	4	dmg-pois	150	86	86	dmg%		120	160	fire-min		11	25	fire-max		31	50	dmg-to-mana		7	12	skilltab	0	1	1	res-fire	0	40	40		0
Highlord's Wrath Gift	428	100			1	1	1	30	amu	Amulet		5	5000	cgrn	cgrn						ac%		30	30	ltng-min		1	1	ltng-max		361	480	cast2		20	20	str		20	20	mana-kill		2	2	abyssal-display		2	10	dmg%		5	10	fireskill		3	3	regen		12	12	oskill	Oak Sage	5	27	allskills		1	1		0
Saracen's Chance Gift	429	100			1	1	1	30	amu	Amulet		5	5000	cred	cred						allskills		3	3	dmg%		160	200	sor		2	2	death-skill	Meteor	100	45	abyssal-display		2	10	vit		12	12	pierce-ltng		35	35	ltng-min		1	1	ltng-max		59	90	lifesteal		6	6	deadly		33	33	att	0	61	80		0
Arreat's Face Gift	430	100			1	1	1	30	baa	Slayer Guard		5	5000	cred	cred						openwounds		50	50	res-all		30	30	dmg-max		11	15	bar		2	2	stupidity		33	33	oskill	96	10	10	fire-min	0	5	5	fire-max	0	8	8	res-ltng		5	15	light		4	4	hit-skill	Volcano	5	18	abyssal-display		2	10		0
Homunculus Gift	431	100			1	1	1	30	nea	Heirophant Trophy		5	5000	cgrn	cgrn						regen-mana		33	33	block2		30	30	abyssal-display		2	10	ac-miss		50	50	skilltab	6	1	1	move2		20	20	hp	0	24	24	dmg-undead	0	44	44	dmg%		50	50	dmg-max		1	1	lifesteal		10	10	oskill	Fire Mastery	3	3		0
Titan's Revenge Gift	432	100			1	1	1	30	ama	Ceremonial Javelin		5	5000	cred	cred						dmg%		150	200	abyssal-display		2	10	rep-quant	30			mana-kill		4	4	str		10	10	mag%		30	60	block		30	30	hp/lvl	12			res-pois-len		75	75	dmg-to-mana	0	10	10	dmg-ac		-25	-40	dmg-pois	100	39	39		0
Lycander's Aim Gift	433	100			1	1	1	30	am7	Ceremonial Bow		5	5000	cgrn	cgrn						abyssal-display		2	10	dex		20	20	swing2		20	20	str		15	15	dmg%		240	270	openwounds		50	50	mana		30	30	dmg-undead		126	200	dmg-min		5	10	hp		1	5	oskill	111	6	6	regen		20	20		0
Lycander's Flank Gift	434	100			1	1	1	30	am9	Ceremonial Pike		5	5000	cred	cred						ama		2	2	abyssal-display		2	10	dmg-ltng		1	30	mana-kill		20	20	dmg-fire		1	200	extra-ltng		10	15	res-fire		20	30	half-freeze		1	1	dmg-to-mana	0	10	10	dmg-min		4	5	str		11	15	ac		50	50		0
The Oculus Gift	435	100			1	1	1	30	oba	Swirling Crystal		5	5000	cgrn	cgrn						oskill	Teleport	1	1	hp		20	20	mana		16	20	fire-min		5	7	fire-max		9	13	res-cold		25	25	light		3	3	ac		135	175	res-all		20	20	mana-kill		5	5	cold-min		1	1	abyssal-display		2	10		0
Herald of Zakarum Gift	436	100			1	1	1	30	pa9	Aerin Shield		5	5000	cred	cred						deadly		33	33	res-all-max		15	15	cold-min		1	1	cold-max		3	5	cold-len		50	50	att		55	55	balance2		30	30	dmg-cold	100	3	6	att%		20	20	abyssal-display	2	2	10	dur		50	50	str		20	20		0
Cutthroat1 Gift	437	100			1	1	1	30	9tw	Runic Talons		5	5000	cgrn	cgrn						res-all		10	10	dmg-max		11	15	skilltab	20	1	1	dmg-ltng		15	15	thorns		5	5	fire-min		1	1	fire-max		2	3	abyssal-display	Oak Sage	2	10	ac%		150	200	res-pois-len	0	75	75	lifesteal		6	8	att%		20	20		0
Jalal's Mane Gift	438	100			1	1	1	30	dra	Dream Spirit		5	5000	cgrn	cgrn						dmg-norm		25	50	half-freeze		1	1	indestruct		1	1	str		20	20	dmg%		170	220	abyssal-display	0	2	10	res-all		30	30	gethit-skill	Fade	6	11	ltng-min		1	1	ltng-max		59	90	dmg/lvl	8			hit-skill	197	5	10		0
The Scalper Gift	439	100			1	1	1	30	9ta	Francisca		5	5000	cred	cred						dmg%		150	200	mana-kill		4	4	lifesteal		9	9	oskill	48	2	2	manasteal		7	7	abyssal-display		2	10	ac		450	550	hp		30	30	res-ltng	0	16	16	res-fire	0	5	10	balance3		12	12	att%	0	25	25		0
Bloodmoon Gift	440	100			1	1	1	30	7sb	elegant blade		5	5000	cred	cred		1				openwounds		50	50	dmg%		160	210	vit/lvl	4			ac		9	20	mana		8	13	dmg-pois	75	35	35	abyssal-display		2	10																						0
Djinnslayer Gift	441	100			1	1	1	30	7sm	ataghan		5	5000	cgrn	cgrn		1				att-demon		200	300	sock		1	2	skill	Enchant	20	23	dmg-demon		123	123	dmg-undead		150	230	regen-mana		10	10	gethit-skill	Howl	3	1	balance3		40	40	hp		20	20	str		10	10	abyssal-display		2	10	att		200	200		0
Deathbit Gift	442	100			1	1	1	30	9tk	battle dart		5	5000	cred	cred						att		200	450	dmg/lvl	8			ac		15	15	light		4	4	ac%		120	150	pierce-cold		40	60	dmg%		200	260	oskill	68	3	3	balance2		15	15	ac/lvl	20			gethit-skill	52	5	5	abyssal-display		2	10		0
Warshrike Gift	443	100			1	1	1	30	7bk	winged knife		5	5000	cgrn	cgrn		1				deadly		50	50	cast3		20	20	dmg-norm		35	40	dmg-ltng		1	305	res-fire		20	20	abyssal-display		2	10	thorns	0	4	4	res-pois	0	11	20	att-undead		175	250	oskill	244	3	3	ac		50	50	res-all		30	30		0
Gutsiphon Gift	444	100			1	1	1	30	6rx	demon crossbow		5	5000	cred	cred		1				pierce		33	33	mana		13	13	abyssal-display		2	10	hp		80	80	res-ltng		20	40	oskill	Wearwolf	3	6	deadly		50	50	hit-skill	Confuse	11	18	att	0	100	100	mana-kill	0	1	1	res-all		3	7	dex		30	30		0
Razoredge Gift	445	100			1	1	1	30	7ha	tomahawk		5	5000	cgrn	cgrn		1				reduce-ac		33	33	light		2	2	abyssal-display		2	10	att%		35	35	str		8	8	ac%		120	150	balance2		30	30	dmg%		330	375	cast2		33	33	dmg-fire		20	30	ac-miss		50	50	ac		175	175		0
Demonlimb Gift	446	100			1	1	1	30	7sp	tyrant club		5	5000	cgrn	cgrn		1				att		75	75	oskill	84	2	2	dmg-fire		222	333	block		30	30	crush		40	40	hit-skill	197	5	10	fire-min		6	6	fire-max		20	40	abyssal-display		2	10	dmg%		180	230	skilltab	10	1	1	regen		4	4		0
Steelshade Gift	447	100			1	1	1	30	ulm	armet		5	5000	cred	cred		1				mana-kill		1	3	openwounds		25	25	skilltab	17	7	7	fire-min		15	15	fire-max	0	20	20	hit-skill	Frost Nova	33	8	ac		150	150	move2		20	20	regen		10	18	abyssal-display		2	10	lifesteal		8	8	dmg%		180	220		0
Tomb Reaver Gift	448	100			1	1	1	30	7pa	cryptic axe		5	5000	cgrn	cgrn						sock		1	3	swing2		60	60	ac%		100	100	dmg-fire		236	480	mana/lvl	10			cold-min	0	3	3	cold-max	0	5	5	cold-len	0	35	35	abyssal-display		2	10	light		4	4	att%		15	25	att/lvl	20				0
Deaths's Web Gift	449	100			1	1	1	30	7gw	unearthed wand		5	5000	cred	cred						dmg%		150	250	skilltab	7	1	2	res-fire		20	20	res-cold		40	60	oskill	58	3	3	fire-min		4	9	fire-max		11	19	lifesteal		8	10	dex		10	10	ac%		120	160	res-ltng		31	31	abyssal-display	0	2	10		0
Nature's Peace Gift	450	100			1	1	1	30	rin	ring		5	5000	cgrn	cgrn						rip		1	1	ac		30	30	dmg%		100	100	res-pois		50	50	ac%		150	200	cheap		10	15	mana%		5	5	block2		20	20	abyssal-display		2	10	oskill	91	3	3	att		10	10	res-all	0	10	10		0
Azurewrath Gift	451	100			1	1	1	30	7cr	phase blade		5	5000	cred	cred		1				allskills		1	1	dmg%		230	270	res-all		20	20	att%		35	35	dmg-max		10	30	dmg-fire		233	482	oskill	Raven	8	15	dmg-pois	50	187	187	abyssal-display		2	10	mana		100	100	openwounds		25	25	enr		11	15		0
Seraph's Hymn Gift	452	100			1	1	1	30	amu	amulet		5	5000	cgrn	cgrn		1				att-undead		150	250	dmg-undead		25	50	dmg-demon		25	50	abs-fire/lvl	6			dmg-fire		250	500	regen-mana		10	10	swing2		25	25	red-dmg		2	2	dmg%		75	75	res-fire	0	12	12	abyssal-display		2	10	hp		11	20		0
Fleshripper Gift	453	100			1	1	1	30	7kr	fanged knife		5	5000	cred	cred		1				openwounds		50	50	crush		25	25	str		10	10	lifesteal		8	12	hp		15	15	att		632	632	dmg-und/lvl	16			vit		12	12	noheal		1	1	oskill	13	3	3	block2		65	65	abyssal-display		2	10		0
Horizon's Tornado Gift	454	100			1	1	1	30	7fl	scourge		5	5000	cgrn	cgrn						abyssal-display		2	10	ac%		30	50	dex		15	15	ease		-20	-20	str		5	5	dmg-norm		25	50	regen-mana		15	15	ac		400	400	oskill	12	4	4	cold-min		6	9	cold-max		19	30	cast2		25	25		0
Stone Crusher Gift	455	100			1	1	1	30	7wh	legendary mallet		5	5000	cred	cred						dmg		10	30	abyssal-display		2	10	red-dmg%		10	10	manasteal		11	15	skilltab	16	2	2	extra-ltng		10	15	dmg%		250	300	cast3		25	35	swing2		20	30	gethit-skill	42	10	3	nofreeze		1	1	hp		50	50		0
Jadetalon Gift	456	100			1	1	1	30	7wb	wrist sword		5	5000	cgrn	cgrn						balance2		30	30	noheal		1	1	dmg-fire		12	33	mana-kill		5	5	hit-skill	Life Tap	15	5	aura-display	Fanaticism	12	15	indestruct		1	1	ac-miss		250	250	dex		6	6	abyssal-display	5	2	10	att		30	30	lifesteal		6	6		0
Shadowdancer Gift	457	100			1	1	1	30	uhb	myrmidon greaves		5	5000	cred	cred						dex		15	25	oskill	132	2	2	thorns		8	8	vit		10	10	ignore-ac		1	1	manasteal		10	15	abs-cold		5	9	res-fire		8	10	res-ltng		21	30	oskill	34	4	4	abyssal-display		2	10						0
Cerebus Gift	458	100			1	1	1	30	drb	blood spirit		5	5000	cgrn	cgrn						skilltab	16	2	4	ac-miss		100	100	mag%		25	40	gethit-skill	88	10	2	nofreeze		1	1	vit		2	2	allskills		1	1	aura-display	Concentration	16	20	abyssal-display	0	2	10	ease		-20	-20	oskill	48	7	7	dex		15	15		0
Tyrael's Might Gift	459	100			1	1	1	30	uar	sacred armor		5	5000	cgrn	cgrn		1				indestruct		1	1	rip		1	1	oskill	77	30	50	dmg%		70	70	abyssal-display		2	10	hp		40	40	ac/lvl	16			swing2		10	10	aura-display	Holy Shock	15	15	dmg-undead	0	28	28	skilltab	2	2	2	balance3		24	24		0
Souldrain Gift	460	100			1	1	1	30	umg	vambraces		5	5000	cgrn	cgrn						ac%		90	120	dmg-cold	150	27	53	swing2		45	45	dmg/lvl	10			enr		15	15	skilltab	13	2	2	sor		1	1	res-pois		35	50	att	0	60	60	res-cold		11	12	dmg-max		1	1	abyssal-display		2	10		0
Runemaster Gift	461	100			1	1	1	30	72a	ettin axe		5	5000	cred	cred						nofreeze		1	1	res-cold-max		5	5	manasteal		4	10	dmg%		120	150	skilltab	14	1	3	swing2		35	35	att-skill	Glacial Spike	25	18	pierce-cold		40	60	att	0	101	120	res-fire		16	30	abyssal-display		2	10	lifesteal		15	15		0
Deathcleaver Gift	462	100			1	1	1	30	7wa	berserker axe		5	5000	cgrn	cgrn						reduce-ac		33	33	noheal		1	1	skilltab	17	1	1	res-pois		90	90	hp		60	60	ac%		75	75	ac		200	200	ltng-min		1	1	ltng-max		44	71	thorns		5	5	abyssal-display		2	10	str		7	10		0
Executioner's Justice Gift	463	100			1	1	1	30	7gi	glorious axe		5	5000	cred	cred						abyssal-display		2	10	openwounds		35	35	dmg-mag		60	120	dmg-min		9	9	move2		20	20	cold-min		8	13	cold-max		16	25	str		20	20	crush		25	25	vit		7	7	ac		10	10	ac/lvl	16				0
Stoneraven Gift	464	100			1	1	1	30	amd	matriarchal spear		5	5000	cgrn	cgrn						ac		400	600	stupidity		1	1	deadly/lvl	4			hp		20	20	lifesteal		8	10	abyssal-display		2	10																										0
Leviathan Gift	465	100			1	1	1	30	uld	kraken shell		5	5000	cred	cred						indestruct		1	1	openwounds		25	25	oskill	51	1	1	res-all		10	10	regen		20	20	att%		25	25	cast2		20	20	light		2	2	hp		15	15	str		25	25	balance1		7	7	abyssal-display		2	10		0
Wisp Gift	466	100			1	1	1	30	rin	ring		5	5000	cred	cred						oskill	Spirit of Barbs	7	11	dmg%		80	100	ac-miss		80	80	allskills		2	2	block2		30	30	skilltab	20	1	2	vit		10	10	res-all		21	30	pois-min		32	32	pois-max		72	72	pois-len		100	100	abyssal-display		2	10		0
Gargoyle's Bite Gift	467	100			1	1	1	30	7ts	winged harpoon		5	5000	cgrn	cgrn						ac%		180	200	lifesteal		3	3	hp		20	20	ac		25	25	ignore-ac		1	1	oskill	Plague Javelin	11	60	dmg-fire		150	210	stamdrain		25	25	cold-min		1	1	cold-max		1	4	cold-len		125	125	abyssal-display		2	10		0
Lacerator Gift	468	100			1	1	1	30	7b8	winged axe		5	5000	cgrn	cgrn						noheal		1	1	abyssal-display		2	10	openwounds		50	50	ac%		20	30	att%		20	20	dmg-fire		233	482	gold%/lvl	15			gold%		50	50	dmg%	0	10	20	ama	0	2	2	rep-quant	5			oskill	71	5	5		0
Mang Song's Lesson Gift	469	100			1	1	1	30	6ws	archon staff		5	5000	cred	cred		1				allskills		5	5	manasteal		100	100	light-thorns		7	7	nec		2	2	abyssal-display	60	2	10	pal		2	2	swing2		10	10	pierce-ltng		35	35	res-ltng-max		5	5	balance3		55	55	dex		20	20	oskill	93	3	3		0
Viperfork Gift	470	100			1	1	1	30	7br	war fork		5	5000	cred	cred						dmg-pois	250	333	333	ac		30	30	openwounds		50	50	abyssal-display		2	10	ac%		130	170	str		40	50	slow		10	10	aura-display	Redemption	10	15	red-mag		3	3	dex		15	15	balance2		30	30	res-fire	0	40	40		0
Ethereal Edge Gift	471	100			1	1	1	30	7ba	silver-edged axe		5	5000	cgrn	cgrn						swing2		25	25	att		270	350	move2		30	30	dmg-undead		100	200	crush		10	10	mana-kill		5	5	gethit-skill	240	7	1	res-pois		25	26	abyssal-display		2	10	str		10	10	regen-mana	0	12	12	skilltab	8	2	2		0
Demonhorn's Edge Gift	472	100			1	1	1	30	bad	destroyer helm		5	5000	cred	cred						skilltab	14	1	3	skilltab	13	1	3	oskill	102	6	6	block		25	25	regen		5	5	indestruct		1	1	swing2		25	25	dmg-demon		200	250	res-all		10	20	ac		50	50	openwounds	0	20	20	abyssal-display		2	10		0
The Reaper's Toll Gift	473	100			1	1	1	30	7s8	thresher		5	5000	cgrn	cgrn						deadly		33	33	dmg%		190	240	hp		20	20	slow		50	50	thorns		15	15	res-all		75	75	block		40	40	hit-skill	Frozen Orb	9	11	death-skill	Meteor	100	48	swing1		10	10	abyssal-display		2	10	regen-mana		15	15		0
Spiritkeeper Gift	474	100			1	1	1	30	drd	earth spirit		5	5000	cred	cred						abs-ltng		9	14	balance2		20	20	pierce-pois		40	50	levelup-skill	Venom	100	23	dmg%		240	270	noheal		1	1	regen		7	7	abyssal-display		2	10	res-pois		6	7	hp		21	25	oskill	8	4	4	cast1	0	10	10		0
Hellrack Gift	475	100			1	1	1	30	6hx	colossus crossbow		5	5000	cgrn	cgrn		1				swing2		20	20	block		20	20	lifesteal		5	7	move2		20	20	ac		300	300	res-all		25	35	res-cold		30	30	abyssal-display		2	10																		0
Alma Negra Gift	476	100			1	1	1	30	pac	sacred rondache		5	5000	cred	cred						red-mag		5	9	block2		30	30	att		35	35	reduce-ac		50	50	block		25	25	att-skill	Glacial Spike	25	18	openwounds		33	33	cast2		35	35	enr		15	15	ac%		66	80	abyssal-display	15	2	10	stamdrain		80	90		0
Darkforge Spawn Gift	477	100			1	1	1	30	nef	bloodlord skull		5	5000	cgrn	cgrn						abyssal-display		2	10	dmg%		70	80	dmg-norm		3	7	mana		15	15	res-all		10	10	move2		20	20	lifesteal		5	9	regen		-5	-5	dmg-max		17	23	res-fire		13	15	dmg-min		5	10	oskill	36	10	10		0
Widowmaker Gift	478	100			1	1	1	30	6sw	ward bow		5	5000	cred	cred		1				magicarrow		11	11	nec		1	1	dmg-norm		15	35	ac%		100	100	res-pois		20	20	att-demon		200	250	balance2		20	20	dmg%		200	275	swing2		25	25	att	0	20	20	abyssal-display		2	10	dmg-max		1	1		0
Bloodraven's Charge Gift	479	100			1	1	1	30	amb	matriarchal bow		5	5000	cgrn	cgrn		1				extra-cold		15	30	explosivearrow		13	13	dex		4	6	abyssal-display		2	10	res-cold		40	40	cold-min		4	4	cold-max		8	8	cold-len		75	75	swing2		25	25	oskill	93	3	3	gold%		56	56	move2		20	20		0
Ghostflame Gift	480	100			1	1	1	30	7bl	legend spike		5	5000	cred	cred						light		2	2	manasteal		10	15	res-fire		50	50	red-mag		15	15	abyssal-display		2	10	str		10	10	reanimate	1	10	10	mana		20	20	ac%		100	100	ac		4	6	red-dmg		8	15	hp		35	35		0
Shadowkiller Gift	481	100			1	1	1	30	7cs	battle cestus		5	5000	cgrn	cgrn		1				reduce-ac		25	25	ethereal		1	1	mana-kill		10	15	res-fire		20	20	abyssal-display		2	10	swing2		40	40	dmg-fire		211	371	att-undead		100	100	att/lvl	16			extra-cold		15	15	dmg%	0	10	20	att%	0	40	40		0
Gimmershred Gift	482	100			1	1	1	30	7ta	flying axe		5	5000	cred	cred						dmg-ltng		29	501	hit-skill	53	5	10	dex		15	15	abyssal-display		2	10	oskill	IronGolem	14	17	dmg-to-mana		35	35	ac		75	75	thorns		8	8	res-all	0	14	14	red-dmg		3	3	gethit-skill	38	14	5	move3		40	40		0
Griffon's Eye Gift	483	100			1	1	1	30	ci3	diadem		5	5000	cgrn	cgrn						str		40	50	dmg-pois	250	256	256	nofreeze		1	1	dmg-max		21	40	abyssal-display		2	10	res-cold		33	33	gold%	0	75	75	light		2	2	regen		5	5	dmg-min		8	8	fire-min		1	1	fire-max		2	6		0
Windhammer Gift	484	100			1	1	1	30	7m7	ogre maul		5	5000	cred	cred						hit-skill	Twister	33	22	dmg-pois	75	40	40	ac		20	20	dmg-norm		15	45	abyssal-display		2	10	manasteal		4	8	ac-miss		250	250	dmg-demon		200	200	dmg%		200	200	att		21	48	res-cold		13	15	oskill	91	3	3		0
Thunderstroke Gift	485	100			1	1	1	30	amf	matriarchal javelin		5	5000	cgrn	cgrn						hit-skill	Lightning	20	14	oskill	Lightning Bolt	3	3	dmg-min		8	8	res-all		10	10	ac		75	75	swing2		50	50	block2		30	30	aura-display	Resist Fire	4	8	abyssal-display		2	10	att		50	50	res-ltng		30	30	hp		11	20		0
Demon's Arch Gift	486	100			1	1	1	30	7s7	balrog spear		5	5000	cgrn	cgrn						stam		9	16	dex		25	25	swing2		30	30	mana		13	13	skilltab	2	2	4	abyssal-display		2	10	att%		100	150	ltng-min		1	6	ltng-max		41	120	hp		15	15	res-pois	0	28	28	dmg-ltng		23	333		0
Boneflame Gift	487	100			1	1	1	30	nee	succubae skull		3	5000	cred	cred						ease		-40	-40	fire-min		1	1	fire-max		2	3	dmg-pois	75	30	36	rep-dur	20			res-pois		55	55	mana	0	31	40	move2		20	20	openwounds		33	33	att-undead		100	100	abyssal-display		2	10	hp		60	60		0
