description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Mal Holder Deposit 3	1			100					4	R23	r23,qty=3						useitem				keyholder-quant			3	3																																																																															0
Mal Holder Deposit 4	1			100					5	R23	r23,qty=4						useitem				keyholder-quant			4	4																																																																															0
Mal Holder Deposit 5	1			100					6	R23	r23,qty=5						useitem				keyholder-quant			5	5																																																																															0
Mal Holder Deposit 6	1			100					7	R23	r23,qty=6						useitem				keyholder-quant			6	6																																																																															0
Mal Holder Deposit 7	1			100					8	R23	r23,qty=7						useitem				keyholder-quant			7	7																																																																															0
Mal Holder Deposit 8	1			100					9	R23	r23,qty=8						useitem				keyholder-quant			8	8																																																																															0
Mal Holder Deposit 9	1			100					10	R23	r23,qty=9						useitem				keyholder-quant			9	9																																																																															0
Mal Holder Deposit 10	1			100					11	R23	r23,qty=10						useitem				keyholder-quant			10	10																																																																															0
Mal Holder Deposit 11	1			100					12	R23	r23,qty=11						useitem				keyholder-quant			11	11																																																																															0
Ist Holder Create	1			100					2	r24	key						R24																																																																																							0
Ist Holder Withdraw	1			100	17	369	0		1	R24							useitem				keyholder-quant			-1	-1																					r24																																																										0
Ist Holder Deposit 1	1			100					2	R24	r24						useitem				keyholder-quant			1	1																																																																															0
Ist Holder Deposit 2	1			100					3	R24	r24,qty=2						useitem				keyholder-quant			2	2																																																																															0
Ist Holder Deposit 3	1			100					4	R24	r24,qty=3						useitem				keyholder-quant			3	3																																																																															0
Ist Holder Deposit 4	1			100					5	R24	r24,qty=4						useitem				keyholder-quant			4	4																																																																															0
Ist Holder Deposit 5	1			100					6	R24	r24,qty=5						useitem				keyholder-quant			5	5																																																																															0
Ist Holder Deposit 6	1			100					7	R24	r24,qty=6						useitem				keyholder-quant			6	6																																																																															0
Ist Holder Deposit 7	1			100					8	R24	r24,qty=7						useitem				keyholder-quant			7	7																																																																															0
Ist Holder Deposit 8	1			100					9	R24	r24,qty=8						useitem				keyholder-quant			8	8																																																																															0
Ist Holder Deposit 9	1			100					10	R24	r24,qty=9						useitem				keyholder-quant			9	9																																																																															0
Ist Holder Deposit 10	1			100					11	R24	r24,qty=10						useitem				keyholder-quant			10	10																																																																															0
Ist Holder Deposit 11	1			100					12	R24	r24,qty=11						useitem				keyholder-quant			11	11																																																																															0
Gul Holder Create	1			100					2	r25	key						R25																																																																																							0
Gul Holder Withdraw	1			100	17	369	0		1	R25							useitem				keyholder-quant			-1	-1																					r25																																																										0
Gul Holder Deposit 1	1			100					2	R25	r25						useitem				keyholder-quant			1	1																																																																															0
Gul Holder Deposit 2	1			100					3	R25	r25,qty=2						useitem				keyholder-quant			2	2																																																																															0
Gul Holder Deposit 3	1			100					4	R25	r25,qty=3						useitem				keyholder-quant			3	3																																																																															0
Gul Holder Deposit 4	1			100					5	R25	r25,qty=4						useitem				keyholder-quant			4	4																																																																															0
Gul Holder Deposit 5	1			100					6	R25	r25,qty=5						useitem				keyholder-quant			5	5																																																																															0
Gul Holder Deposit 6	1			100					7	R25	r25,qty=6						useitem				keyholder-quant			6	6																																																																															0
Gul Holder Deposit 7	1			100					8	R25	r25,qty=7						useitem				keyholder-quant			7	7																																																																															0
Gul Holder Deposit 8	1			100					9	R25	r25,qty=8						useitem				keyholder-quant			8	8																																																																															0
Gul Holder Deposit 9	1			100					10	R25	r25,qty=9						useitem				keyholder-quant			9	9																																																																															0
Gul Holder Deposit 10	1			100					11	R25	r25,qty=10						useitem				keyholder-quant			10	10																																																																															0
Gul Holder Deposit 11	1			100					12	R25	r25,qty=11						useitem				keyholder-quant			11	11																																																																															0
Vex Holder Create	1			100					2	r26	key						R26																																																																																							0
Vex Holder Withdraw	1			100	17	369	0		1	R26							useitem				keyholder-quant			-1	-1																					r26																																																										0
Vex Holder Deposit 1	1			100					2	R26	r26						useitem				keyholder-quant			1	1																																																																															0
Vex Holder Deposit 2	1			100					3	R26	r26,qty=2						useitem				keyholder-quant			2	2																																																																															0
Vex Holder Deposit 3	1			100					4	R26	r26,qty=3						useitem				keyholder-quant			3	3																																																																															0
Vex Holder Deposit 4	1			100					5	R26	r26,qty=4						useitem				keyholder-quant			4	4																																																																															0
Vex Holder Deposit 5	1			100					6	R26	r26,qty=5						useitem				keyholder-quant			5	5																																																																															0
Vex Holder Deposit 6	1			100					7	R26	r26,qty=6						useitem				keyholder-quant			6	6																																																																															0
Vex Holder Deposit 7	1			100					8	R26	r26,qty=7						useitem				keyholder-quant			7	7																																																																															0
Vex Holder Deposit 8	1			100					9	R26	r26,qty=8						useitem				keyholder-quant			8	8																																																																															0
Vex Holder Deposit 9	1			100					10	R26	r26,qty=9						useitem				keyholder-quant			9	9																																																																															0
Vex Holder Deposit 10	1			100					11	R26	r26,qty=10						useitem				keyholder-quant			10	10																																																																															0
Vex Holder Deposit 11	1			100					12	R26	r26,qty=11						useitem				keyholder-quant			11	11																																																																															0
Ohm Holder Create	1			100					2	r27	key						R27																																																																																							0
Ohm Holder Withdraw	1			100	17	369	0		1	R27							useitem				keyholder-quant			-1	-1																					r27																																																										0
Ohm Holder Deposit 1	1			100					2	R27	r27						useitem				keyholder-quant			1	1																																																																															0
Ohm Holder Deposit 2	1			100					3	R27	r27,qty=2						useitem				keyholder-quant			2	2																																																																															0
Ohm Holder Deposit 3	1			100					4	R27	r27,qty=3						useitem				keyholder-quant			3	3																																																																															0
Ohm Holder Deposit 4	1			100					5	R27	r27,qty=4						useitem				keyholder-quant			4	4																																																																															0
Ohm Holder Deposit 5	1			100					6	R27	r27,qty=5						useitem				keyholder-quant			5	5																																																																															0
Ohm Holder Deposit 6	1			100					7	R27	r27,qty=6						useitem				keyholder-quant			6	6																																																																															0
Ohm Holder Deposit 7	1			100					8	R27	r27,qty=7						useitem				keyholder-quant			7	7																																																																															0
Ohm Holder Deposit 8	1			100					9	R27	r27,qty=8						useitem				keyholder-quant			8	8																																																																															0
Ohm Holder Deposit 9	1			100					10	R27	r27,qty=9						useitem				keyholder-quant			9	9																																																																															0
Ohm Holder Deposit 10	1			100					11	R27	r27,qty=10						useitem				keyholder-quant			10	10																																																																															0
Ohm Holder Deposit 11	1			100					12	R27	r27,qty=11						useitem				keyholder-quant			11	11																																																																															0
Lo Holder Create	1			100					2	r28	key						R28																																																																																							0
Lo Holder Withdraw	1			100	17	369	0		1	R28							useitem				keyholder-quant			-1	-1																					r28																																																										0
Lo Holder Deposit 1	1			100					2	R28	r28						useitem				keyholder-quant			1	1																																																																															0
Lo Holder Deposit 2	1			100					3	R28	r28,qty=2						useitem				keyholder-quant			2	2																																																																															0
Lo Holder Deposit 3	1			100					4	R28	r28,qty=2						useitem				keyholder-quant			3	3																																																																															0
Lo Holder Deposit 4	1			100					5	R28	r28,qty=2						useitem				keyholder-quant			4	4																																																																															0
Lo Holder Deposit 5	1			100					6	R28	r28,qty=2						useitem				keyholder-quant			5	5																																																																															0
Lo Holder Deposit 6	1			100					7	R28	r28,qty=2						useitem				keyholder-quant			6	6																																																																															0
Lo Holder Deposit 7	1			100					8	R28	r28,qty=2						useitem				keyholder-quant			7	7																																																																															0
Lo Holder Deposit 8	1			100					9	R28	r28,qty=2						useitem				keyholder-quant			8	8																																																																															0
Lo Holder Deposit 9	1			100					10	R28	r28,qty=2						useitem				keyholder-quant			9	9																																																																															0
Lo Holder Deposit 10	1			100					11	R28	r28,qty=2						useitem				keyholder-quant			10	10																																																																															0
Lo Holder Deposit 11	1			100					12	R28	r28,qty=2						useitem				keyholder-quant			11	11																																																																															0
Sur Holder Create	1			100					2	r29	key						R29																																																																																							0
Sur Holder Withdraw	1			100	17	369	0		1	R29							useitem				keyholder-quant			-1	-1																					r29																																																										0
Sur Holder Deposit 1	1			100					2	R29	r29						useitem				keyholder-quant			1	1																																																																															0
Sur Holder Deposit 2	1			100					3	R29	r29,qty=2						useitem				keyholder-quant			2	2																																																																															0
Sur Holder Deposit 3	1			100					4	R29	r29,qty=3						useitem				keyholder-quant			3	3																																																																															0
Sur Holder Deposit 4	1			100					5	R29	r29,qty=4						useitem				keyholder-quant			4	4																																																																															0
Sur Holder Deposit 5	1			100					6	R29	r29,qty=5						useitem				keyholder-quant			5	5																																																																															0
Sur Holder Deposit 6	1			100					7	R29	r29,qty=6						useitem				keyholder-quant			6	6																																																																															0
Sur Holder Deposit 7	1			100					8	R29	r29,qty=7						useitem				keyholder-quant			7	7																																																																															0
Sur Holder Deposit 8	1			100					9	R29	r29,qty=8						useitem				keyholder-quant			8	8																																																																															0
Sur Holder Deposit 9	1			100					10	R29	r29,qty=9						useitem				keyholder-quant			9	9																																																																															0
Sur Holder Deposit 10	1			100					11	R29	r29,qty=10						useitem				keyholder-quant			10	10																																																																															0
Sur Holder Deposit 11	1			100					12	R29	r29,qty=11						useitem				keyholder-quant			11	11																																																																															0
Ber Holder Create	1			100					2	r30	key						R30																																																																																							0
Ber Holder Withdraw	1			100	17	369	0		1	R30							useitem				keyholder-quant			-1	-1																					r30																																																										0
Ber Holder Deposit 1	1			100					2	R30	r30						useitem				keyholder-quant			1	1																																																																															0
Ber Holder Deposit 2	1			100					3	R30	r30,qty=2						useitem				keyholder-quant			2	2																																																																															0
Ber Holder Deposit 3	1			100					4	R30	r30,qty=3						useitem				keyholder-quant			3	3																																																																															0
Ber Holder Deposit 4	1			100					5	R30	r30,qty=4						useitem				keyholder-quant			4	4																																																																															0
Ber Holder Deposit 5	1			100					6	R30	r30,qty=5						useitem				keyholder-quant			5	5																																																																															0
Ber Holder Deposit 6	1			100					7	R30	r30,qty=6						useitem				keyholder-quant			6	6																																																																															0
Ber Holder Deposit 7	1			100					8	R30	r30,qty=7						useitem				keyholder-quant			7	7																																																																															0
Ber Holder Deposit 8	1			100					9	R30	r30,qty=8						useitem				keyholder-quant			8	8																																																																															0
Ber Holder Deposit 9	1			100					10	R30	r30,qty=9						useitem				keyholder-quant			9	9																																																																															0
Ber Holder Deposit 10	1			100					11	R30	r30,qty=10						useitem				keyholder-quant			10	10																																																																															0
Ber Holder Deposit 11	1			100					12	R30	r30,qty=11						useitem				keyholder-quant			11	11																																																																															0
Jah Holder Create	1			100					2	r31	key						R31																																																																																							0
Jah Holder Withdraw	1			100	17	369	0		1	R31							useitem				keyholder-quant			-1	-1																					r31																																																										0
Jah Holder Deposit 1	1			100					2	R31	r31						useitem				keyholder-quant			1	1																																																																															0
Jah Holder Deposit 2	1			100					3	R31	r31,qty=2						useitem				keyholder-quant			2	2																																																																															0
Jah Holder Deposit 3	1			100					4	R31	r31,qty=3						useitem				keyholder-quant			3	3																																																																															0
Jah Holder Deposit 4	1			100					5	R31	r31,qty=4						useitem				keyholder-quant			4	4																																																																															0
Jah Holder Deposit 5	1			100					6	R31	r31,qty=5						useitem				keyholder-quant			5	5																																																																															0
Jah Holder Deposit 6	1			100					7	R31	r31,qty=6						useitem				keyholder-quant			6	6																																																																															0
Jah Holder Deposit 7	1			100					8	R31	r31,qty=7						useitem				keyholder-quant			7	7																																																																															0
Jah Holder Deposit 8	1			100					9	R31	r31,qty=8						useitem				keyholder-quant			8	8																																																																															0
Jah Holder Deposit 9	1			100					10	R31	r31,qty=9						useitem				keyholder-quant			9	9																																																																															0
Jah Holder Deposit 10	1			100					11	R31	r31,qty=10						useitem				keyholder-quant			10	10																																																																															0
Jah Holder Deposit 11	1			100					12	R31	r31,qty=11						useitem				keyholder-quant			11	11																																																																															0
Cham Holder Create	1			100					2	r32	key						R32																																																																																							0
Cham Holder Withdraw	1			100	17	369	0		1	R32							useitem				keyholder-quant			-1	-1																					r32																																																										0
Cham Holder Deposit 1	1			100					2	R32	r32						useitem				keyholder-quant			1	1																																																																															0
Cham Holder Deposit 2	1			100					3	R32	r32,qty=2						useitem				keyholder-quant			2	2																																																																															0
Cham Holder Deposit 3	1			100					4	R32	r32,qty=3						useitem				keyholder-quant			3	3																																																																															0
Cham Holder Deposit 4	1			100					5	R32	r32,qty=4						useitem				keyholder-quant			4	4																																																																															0
Cham Holder Deposit 5	1			100					6	R32	r32,qty=5						useitem				keyholder-quant			5	5																																																																															0
Cham Holder Deposit 6	1			100					7	R32	r32,qty=6						useitem				keyholder-quant			6	6																																																																															0
Cham Holder Deposit 7	1			100					8	R32	r32,qty=7						useitem				keyholder-quant			7	7																																																																															0
Cham Holder Deposit 8	1			100					9	R32	r32,qty=8						useitem				keyholder-quant			8	8																																																																															0
Cham Holder Deposit 9	1			100					10	R32	r32,qty=9						useitem				keyholder-quant			9	9																																																																															0
Cham Holder Deposit 10	1			100					11	R32	r32,qty=10						useitem				keyholder-quant			10	10																																																																															0
Cham Holder Deposit 11	1			100					12	R32	r32,qty=11						useitem				keyholder-quant			11	11																																																																															0
Zod Holder Create	1			100					2	r33	key						R33																																																																																							0
Zod Holder Withdraw	1			100	17	369	0		1	R33							useitem				keyholder-quant			-1	-1																					r33																																																										0
Zod Holder Deposit 1	1			100					2	R33	r33						useitem				keyholder-quant			1	1																																																																															0
Zod Holder Deposit 2	1			100					3	R33	r33,qty=2						useitem				keyholder-quant			2	2																																																																															0
Zod Holder Deposit 3	1			100					4	R33	r33,qty=3						useitem				keyholder-quant			3	3																																																																															0
Zod Holder Deposit 4	1			100					5	R33	r33,qty=4						useitem				keyholder-quant			4	4																																																																															0
Zod Holder Deposit 5	1			100					6	R33	r33,qty=5						useitem				keyholder-quant			5	5																																																																															0
Zod Holder Deposit 6	1			100					7	R33	r33,qty=6						useitem				keyholder-quant			6	6																																																																															0
Zod Holder Deposit 7	1			100					8	R33	r33,qty=7						useitem				keyholder-quant			7	7																																																																															0
Zod Holder Deposit 8	1			100					9	R33	r33,qty=8						useitem				keyholder-quant			8	8																																																																															0
Zod Holder Deposit 9	1			100					10	R33	r33,qty=9						useitem				keyholder-quant			9	9																																																																															0
Zod Holder Deposit 10	1			100					11	R33	r33,qty=10						useitem				keyholder-quant			10	10																																																																															0
Zod Holder Deposit 11	1			100					12	R33	r33,qty=11						useitem				keyholder-quant			11	11																																																																															0
Nightmare Holder Create	1			100					2	$rn	key						$Rn																																																																																							0
Nightmare Holder Withdraw	1			100	17	369	0		1	$Rn							useitem				keyholder-quant			-1	-1																					$rn																																																										0
Nightmare Holder Deposit 1	1			100					2	$Rn	$rn						useitem				keyholder-quant			1	1																																																																															0
Nightmare Holder Deposit 2	1			100					3	$Rn	$rn,qty=2						useitem				keyholder-quant			2	2																																																																															0
Nightmare Holder Deposit 3	1			100					4	$Rn	$rn,qty=3						useitem				keyholder-quant			3	3																																																																															0
Nightmare Holder Deposit 4	1			100					5	$Rn	$rn,qty=4						useitem				keyholder-quant			4	4																																																																															0
Nightmare Holder Deposit 5	1			100					6	$Rn	$rn,qty=5						useitem				keyholder-quant			5	5																																																																															0
Nightmare Holder Deposit 6	1			100					7	$Rn	$rn,qty=6						useitem				keyholder-quant			6	6																																																																															0
Nightmare Holder Deposit 7	1			100					8	$Rn	$rn,qty=7						useitem				keyholder-quant			7	7																																																																															0
Nightmare Holder Deposit 8	1			100					9	$Rn	$rn,qty=8						useitem				keyholder-quant			8	8																																																																															0
Nightmare Holder Deposit 9	1			100					10	$Rn	$rn,qty=9						useitem				keyholder-quant			9	9																																																																															0
Nightmare Holder Deposit 10	1			100					11	$Rn	$rn,qty=10						useitem				keyholder-quant			10	10																																																																															0
Nightmare Holder Deposit 11	1			100					12	$Rn	$rn,qty=11						useitem				keyholder-quant			11	11																																																																															0
Standard Holder Create	1			100					2	std	key						Std																																																																																							0
Standard Holder Withdraw	1			100	17	369	0		1	Std							useitem				keyholder-quant			-1	-1																					std																																																										0
Standard Holder Deposit 1	1			100					2	Std	std						useitem				keyholder-quant			1	1																																																																															0
Standard Holder Deposit 2	1			100					3	Std	std,qty=2						useitem				keyholder-quant			2	2																																																																															0
Standard Holder Deposit 3	1			100					4	Std	std,qty=3						useitem				keyholder-quant			3	3																																																																															0
Standard Holder Deposit 4	1			100					5	Std	std,qty=4						useitem				keyholder-quant			4	4																																																																															0
Standard Holder Deposit 5	1			100					6	Std	std,qty=5						useitem				keyholder-quant			5	5																																																																															0
Standard Holder Deposit 6	1			100					7	Std	std,qty=6						useitem				keyholder-quant			6	6																																																																															0
Standard Holder Deposit 7	1			100					8	Std	std,qty=7						useitem				keyholder-quant			7	7																																																																															0
Standard Holder Deposit 8	1			100					9	Std	std,qty=8						useitem				keyholder-quant			8	8																																																																															0
Standard Holder Deposit 9	1			100					10	Std	std,qty=9						useitem				keyholder-quant			9	9																																																																															0
Standard Holder Deposit 10	1			100					11	Std	std,qty=10						useitem				keyholder-quant			10	10																																																																															0
Standard Holder Deposit 11	1			100					12	Std	std,qty=11						useitem				keyholder-quant			11	11																																																																															0
Token Holder Create	1			100					2	toa	key						Toa																																																																																							0
Token Holder Withdraw	1			100	17	369	0		1	Toa							useitem				keyholder-quant			-1	-1																					toa																																																										0
Token Holder Deposit 1	1			100					2	Toa	toa						useitem				keyholder-quant			1	1																																																																															0
Token Holder Deposit 2	1			100					3	Toa	toa,qty=2						useitem				keyholder-quant			2	2																																																																															0
Token Holder Deposit 3	1			100					4	Toa	toa,qty=3						useitem				keyholder-quant			3	3																																																																															0
Token Holder Deposit 4	1			100					5	Toa	toa,qty=4						useitem				keyholder-quant			4	4																																																																															0
Token Holder Deposit 5	1			100					6	Toa	toa,qty=5						useitem				keyholder-quant			5	5																																																																															0
Token Holder Deposit 6	1			100					7	Toa	toa,qty=6						useitem				keyholder-quant			6	6																																																																															0
Token Holder Deposit 7	1			100					8	Toa	toa,qty=7						useitem				keyholder-quant			7	7																																																																															0
Token Holder Deposit 8	1			100					9	Toa	toa,qty=8						useitem				keyholder-quant			8	8																																																																															0
Token Holder Deposit 9	1			100					10	Toa	toa,qty=9						useitem				keyholder-quant			9	9																																																																															0
Token Holder Deposit 10	1			100					11	Toa	toa,qty=10						useitem				keyholder-quant			10	10																																																																															0
Token Holder Deposit 11	1			100					12	Toa	toa,qty=11						useitem				keyholder-quant			11	11																																																																															0
Torch Holder Create	1			100					2	Hellfire Torch	key						Hfa																																																																																							0
Torch Holder Withdraw	1			100	17	369	0		1	Hfa							useitem				keyholder-quant			-1	-1																					hfa																																																										0
Torch Holder Deposit 1	1			100					2	Hfa	Hellfire Torch						useitem				keyholder-quant			1	1																																																																															0
Ashes to Torch	1			100	5	208	1		2	hfa,qty=2							Hellfire Torch	99		99																																																																																				0
Andy Portal				100					2	key	hpot,qty=1						Red Portal,qty=37																																																																																							0
Duriel Portal				100					3	key	hpot,qty=2						Red Portal,qty=73																																																																																							0
Meph Portal				100					4	key	hpot,qty=3						Red Portal,qty=102																																																																																							0
Diablo Portal				100					5	key	hpot,qty=4						Red Portal,qty=108																																																																																							0
Baal Portal				100					6	key	hpot,qty=5						Red Portal,qty=132																																																																																							0
Ecto Recharge	1			100					2	any,rar,eth	Ec0						Ec1																																																																																							0
Helm Ecto	1			100					2	helm,noe	Ec1						useitem				ethereal		1	1	1																					Ec0																																																										0
Torso Ecto	1			100					2	tors,noe	Ec1						useitem				ethereal		1	1	1																					Ec0																																																										0
Belt Ecto	1			100					2	belt,noe	Ec1						useitem				ethereal		1	1	1																					Ec0																																																										0
Glove Ecto	1			100					2	glov,noe	Ec1						useitem				ethereal		1	1	1																					Ec0																																																										0
Boot Ecto	1			100					2	boot,noe	Ec1						useitem				ethereal		1	1	1																					Ec0																																																										0
Shield Ecto	1			100					2	shld,noe	Ec1						useitem				ethereal		1	1	1																					Ec0																																																										0
Weapon Ecto	1			100					2	weap,noe	Ec1						useitem				ethereal		1	1	1																					Ec0																																																										0
Candy Holder Create	1			100					2	cnd	helm						Cnd																																																																																							0
Candy Holder Withdraw	1			100	17	369	0		1	Cnd							useitem				keyholder-quant			-1	-1																					cnd																																																										0
Candy Holder Deposit 1	1			100					2	Cnd	cnd						useitem				keyholder-quant			1	1																																																																															0
Candy Holder Deposit 2	1			100					3	Cnd	cnd,qty=2						useitem				keyholder-quant			2	2																																																																															0
Candy Holder Deposit 3	1			100					4	Cnd	cnd,qty=3						useitem				keyholder-quant			3	3																																																																															0
Candy Holder Deposit 4	1			100					5	Cnd	cnd,qty=4						useitem				keyholder-quant			4	4																																																																															0
Candy Holder Deposit 5	1			100					6	Cnd	cnd,qty=5						useitem				keyholder-quant			5	5																																																																															0
Candy Holder Deposit 6	1			100					7	Cnd	cnd,qty=6						useitem				keyholder-quant			6	6																																																																															0
Candy Holder Deposit 7	1			100					8	Cnd	cnd,qty=7						useitem				keyholder-quant			7	7																																																																															0
Candy Holder Deposit 8	1			100					9	Cnd	cnd,qty=8						useitem				keyholder-quant			8	8																																																																															0
Candy Holder Deposit 9	1			100					10	Cnd	cnd,qty=9						useitem				keyholder-quant			9	9																																																																															0
Candy Holder Deposit 10	1			100					11	Cnd	cnd,qty=10						useitem				keyholder-quant			10	10																																																																															0
Candy Holder Deposit 11	1			100					12	Cnd	cnd,qty=11						useitem				keyholder-quant			11	11																																																																															0
Candy Holder 100	1			100	18	369	100		2	Cnd	$rn						Cnd				keyholder-quant			-1	-1																					CND																																																										0
Candy to Annihilus	1			100					2	Annihilus	CND						useitem				oskill		258	5	5	skill		258	2	2	mag%			15	15	ac			50	50	ac%			25	25																																																											0
Zod into Jewel	1			100					2	jew	r33						useitem				indestruct		1	1	1																																																																															0
Jah Ith Ber into Annihilus	1			100					4	Annihilus	r06	r30	r31				useitem				oskill		54	1	1																																																																															0
Rejuv Holder Create	1			100					2	rvl	key						Rvl																																																																																							0
Rejuv Holder Withdraw	1			100	17	369	0		1	Rvl							useitem				keyholder-quant			-1	-1																					rvl																																																										0
Rejuv Holder Deposit 1	1			100					2	Rvl	rvl						useitem				keyholder-quant			1	1																																																																															0
Rejuv Holder Deposit 2	1			100					3	Rvl	rvl,qty=2						useitem				keyholder-quant			2	2																																																																															0
Rejuv Holder Deposit 3	1			100					4	Rvl	rvl,qty=3						useitem				keyholder-quant			3	3																																																																															0
Rejuv Holder Deposit 4	1			100					5	Rvl	rvl,qty=4						useitem				keyholder-quant			4	4																																																																															0
Rejuv Holder Deposit 5	1			100					6	Rvl	rvl,qty=5						useitem				keyholder-quant			5	5																																																																															0
Rejuv Holder Deposit 6	1			100					7	Rvl	rvl,qty=6						useitem				keyholder-quant			6	6																																																																															0
Rejuv Holder Deposit 7	1			100					8	Rvl	rvl,qty=7						useitem				keyholder-quant			7	7																																																																															0
Rejuv Holder Deposit 8	1			100					9	Rvl	rvl,qty=8						useitem				keyholder-quant			8	8																																																																															0
Rejuv Holder Deposit 9	1			100					10	Rvl	rvl,qty=9						useitem				keyholder-quant			9	9																																																																															0
Rejuv Holder Deposit 10	1			100					11	Rvl	rvl,qty=10						useitem				keyholder-quant			10	10																																																																															0
Rejuv Holder Deposit 11	1			100					12	Rvl	rvl,qty=11						useitem				keyholder-quant			11	11																																																																															0
